monument damage report id,Note,MONUMENT_RECORD_NO
83,Extensive damage to roof following fire,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1674M
84,Steps broken,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/278M
85,Graffiti on building,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/278M
86,Damage to south west corner,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/339M
87,Front windows all broken,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1672M
88,Graffiti,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1674M
89,Extreme damp ,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1091M
90,Grand Hotel built on top of it,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1697M
91,Missing guttering,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/339M
92,Graffiti,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1667M
93,Damage to north east corner,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1698M
94,Roof fascia missing – east,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/339M
95,Damage to front of building,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/280M
96,Graffiti,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/139M
97,Roof tiles missing,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1002M
98,Crack in wall – north,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1524M
99,Mole damage,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/126M
100,Graffiti,http://datadock.io/jennet/odcamp-demo/id/resource/monument_record_no/1000M
